expected_intent,predicted_intent,expected_decision,predicted_decision,reply
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,trip_or_pickup,escalate,auto-handle,I am sorry for the trouble with the trip. Please check the trip status and pickup details in the app; support can review the trip if the issue remains unresolved.
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,trip_or_pickup,escalate,auto-handle,I am sorry for the trouble with the trip. Please check the trip status and pickup details in the app; support can review the trip if the issue remains unresolved.
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,trip_or_pickup,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
account_or_login,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details."
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
lost_item,lost_item,auto-handle,auto-handle,I am sorry you left an item behind. Please use the lost-item support flow for the trip in the Uber app so the driver can be contacted securely.
