conversation_id,title,customer,resolution,intent,expected_decision,expected_intent,human_notes,human_groundedness,human_correctness,human_completeness,human_tone,human_safety
402d643cb08b3cef2ac7aefcd5ea6d0f,"Customer: After hours of errors, login issues, &amp; zero support, I'm done. You","Customer: After hours of errors, login issues, &amp; zero support, I'm done. You obviously don't want business. Goodbye.
Support: Here to help! Send us a DM (direct message) with your email address with more info so we can assist.",,account_or_login,escalate,account_or_login,Human audited: verified evidence groundedness and escalation safety.,5.0,5.0,5.0,4.0,5.0
630ec2b1d9112a5260d5c2ba325e6398,Customer: can you  please f**k*n fix my godamm paytm Account or not . Tired of y,"Customer: can you  please f**k*n fix my godamm paytm Account or not . Tired of your stupid robotic chat . #uber #uberindia  #pathetic
Support: It seems a member of our team has reached out to you. Please check your email and follow up with them there.
Customer: This is your stupid automated response . I am using same number for uber and paytm and earlier I could use now I can’t . https://t.co/xp1xugZLi3
Support: We followed up with you via DM.",,account_or_login,escalate,account_or_login,Human audited: verified evidence groundedness and escalation safety.,5.0,5.0,5.0,4.0,5.0
3f9bdb28dba9cb8bcc582bdb16152d20,Customer: Does @115877 deliver ballpark nachos? Having major imitation cheese wi,"Customer: Does @115877 deliver ballpark nachos? Having major imitation cheese withdrawals. #tyronebiggums
Support: We can take a closer look! Please send us a DM of the email address connected to your account so we can further assist.",,account_or_login,escalate,account_or_login,Human audited: verified evidence groundedness and escalation safety.,5.0,5.0,5.0,4.0,5.0
1637f81cb0e94b247765dcc0fb2e00df,Customer: @Uber_Support here you have another fucking driver stealing ftom your ,"Customer: @Uber_Support here you have another fucking driver stealing ftom your customers
Support: Will you please DM us with your email address associated with your account? We'll look into it.",,account_or_login,escalate,account_or_login,Human audited: verified evidence groundedness and escalation safety.,5.0,5.0,5.0,4.0,5.0
d2c8b4e539aeb9a2cb280e6a109e4b0e,Customer: Someone has been trying to get into my Uber account all morning. Sigh.,"Customer: Someone has been trying to get into my Uber account all morning. Sigh.
Support: Here to help! Follow up here; https://t.co/kGIXas5Cxg and our team will connect right away.
Customer: I’ve filed a ticket, but I can’t confirm my email address on the ticket as the validate email link needs Auth and I can’t sign in.. https://t.co/AHcFTHHqVq
Support: We're here to help! Send us a DM with your email address so we can follow up.
Customer: Done!",,account_or_login,escalate,account_or_login,Human audited: verified evidence groundedness and escalation safety.,5.0,4.0,5.0,4.0,5.0
c381416369358a1c60b3185030a67bf3,Customer: Why does @115877 ask for login when I am already logged into @115873 ?,"Customer: Why does @115877 ask for login when I am already logged into @115873 ?
Support: Happy to clarify, Abhimithra. You will need to verify your information since you are trying to log in on another app. Hope this helps!
Customer: Doesn't help. When you two apps, right way is to use my existing login or you don't trust your flagship app security much",,account_or_login,escalate,account_or_login,Human audited: verified evidence groundedness and escalation safety.,5.0,5.0,4.0,3.0,5.0
56bc8deb5bf9207bc4a02f65c7cb0fd1,Customer: Why is my Uber account not letting me request a damn ride @115873 http,"Customer: Why is my Uber account not letting me request a damn ride @115873 https://t.co/KfBAUD4efH
Support: Here to help! Send us a note here, https://t.co/xMxswVLBKT, and our team will follow up.",,account_or_login,escalate,account_or_login,Human audited: verified evidence groundedness and escalation safety.,5.0,5.0,5.0,4.0,5.0
ee06600a3a32a3db5eb9510eb5984d2b,Customer: Any leak happened at @115873? They have randomly reset my password and,"Customer: Any leak happened at @115873? They have randomly reset my password and sent me an email.
Support: Happy to take a closer look. Connect with us through https://t.co/kGIXas5Cxg and we'll be in touch.",,account_or_login,escalate,account_or_login,Human audited: verified evidence groundedness and escalation safety.,5.0,5.0,5.0,4.0,5.0
3942c1bebf4171f32539a12782783f7d,Customer: I need urgent help as My Girl friend forget her purse in Uber car last,"Customer: I need urgent help as My Girl friend forget her purse in Uber car last night with lot of money and important documents.
Support: We definitely want to take a closer look. However, due to our policy terms and conditions, we will need to discuss this with the account holder. Please message us with the email address associated with the account and we'll follow up with him directly via in-app support.
Customer: She try to contact you so many times through app, but your service here in Vietnam poor. No one replies to her in 20 hr, yet counting. Is this your service?
Support: Please message us with the email address associated with the account and we'll follow up with them directly via in-app support.
Customer: I have sent you the details by message, Please check and confirm.
Support: We've replied via DM, please follow up there.
Customer: Nothing Received dear.
Customer: Can you please respond, where did you contacted her? Message on Mobile number or Email, or Uber app? She didn't received anything from you.
Support: We've responded to your DM.",,account_or_login,escalate,account_or_login,Human audited: verified evidence groundedness and escalation safety.,4.0,5.0,5.0,4.0,5.0
78e20927b9194f7452a71bb820d7153c,Customer: this guy is UNSTABLE and WILL end up hurting someone if you don't stop,"Customer: this guy is UNSTABLE and WILL end up hurting someone if you don't stop him
Support: Happy to help! Please have the account holder send a note through https://t.co/fS660rQ8NQ or via in app support so we can help out. Thanks!",,account_or_login,escalate,account_or_login,Human audited: verified evidence groundedness and escalation safety.,4.0,5.0,5.0,3.0,5.0
