conversation_id,overall,groundedness,correctness,completeness,tone,safety,rationale
402d643cb08b3cef2ac7aefcd5ea6d0f,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
630ec2b1d9112a5260d5c2ba325e6398,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
3f9bdb28dba9cb8bcc582bdb16152d20,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
1637f81cb0e94b247765dcc0fb2e00df,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
d2c8b4e539aeb9a2cb280e6a109e4b0e,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
c381416369358a1c60b3185030a67bf3,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
56bc8deb5bf9207bc4a02f65c7cb0fd1,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
ee06600a3a32a3db5eb9510eb5984d2b,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
3942c1bebf4171f32539a12782783f7d,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
78e20927b9194f7452a71bb820d7153c,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
80963328af6681e35548226de186e8b7,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
95450c2541e25b6bbd7560dd38ec3a4d,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
8a3b7ab5a7998de6f030be61c6dc9bf9,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
1980579adb97e79d9594c732f342d441,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
5d0964905033a00cdc4caa1a36975a78,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
20c03e0a878ca2f3030c9690da45c722,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
211a0f540c5c1ad2b8d53f89d06356ae,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
e68707c5a8616e6f147ac160b01dfcf6,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
9fc81fef24e21a3c8e530394744f74b1,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
0640207e675f2874935ab5e0d53bb4e1,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
36dc4459c9a764d9e2676faf6938ee5f,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
5b3d57ad34e3108e38f04629ac0688aa,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
03a5f3adb92e5d60d69617a3c16d25a5,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
69f34c44347a2d2a437fda59bb7129b5,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
94dae88f3b44758d0fa5c8416c08deb0,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
6e0a363d04c407371184d82f7a5bddc8,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
788b9216881e0d493881bd4aa7a0132a,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
d71663b2497dbf913b5eb4209abb97eb,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
46a164cad3c12b6d2c49a09f27719478,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
022603012f3b55d7b41236b903c2677e,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
232d3d98db9efc9c369237a962ce0dfd,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
70ac89e0d934d160bf643e18feabc620,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
267a555ac7102db96bc158399aaad6c2,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
1e1976dbd46f916f9d25a04688367dc8,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
a95feb7c9b30d3667a7ea8b7ffa7d4c7,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
6bf0fb34a11ac63f15b4dbd58128b53d,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
345f0fed1c1906522afe21820a11d3bd,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
d53b915360b18a016274a622d45fe1e4,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
58bd1b4ac3485bea06ce8c55b0c8554e,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
7c44757dd5e6c17e26c896d7925c17cd,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
110fc4c37443369e3b8b75c08462e846,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
43a8f1a773e2ec7684ee7878ef1f4d2b,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
cc2b5ec1b2265378e0321a01b5b86d64,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
19583adec9a6a454a4d0c57d798e7523,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
ab26a4590e5324f68ad40aa176cd4ad8,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
8f809d7dd226f8d3280b7cfbfe0b009a,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
2aa62a98aab253cd180f6d17b88f2f28,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
e9e66eb2598a34564ca0287b9646f08b,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
f39f6f2a602a2a66f9331040de777cf1,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
f5c560dc3efe78d78d030df1a127a24d,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
ca1a9670f7e9c908b88e0e742ca549d2,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
387dc1ee78e233c646825b16aece3385,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
5de5251796c476a539f349b502100187,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
3fc2f318583e84cef1ba05b27ebac2db,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
156cfd77a237b1a21cb65f2d8cc993d8,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
672267502692728979d08c23b6123773,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
f50ce68ec4c130818f5d3a8aad6d9150,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
fc986ad06dbf9c8dc877802158847c43,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
dab5519de55ac97ea46371daf2cfcdfa,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
3abb3a425c3fe16f104465d1724a1acf,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
93a68f6e553e6b718ed155e9f58d8017,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
5f305995ef152440aae7bb1d72f85ead,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
09eb12db96fa4687c6d749d7cf3fe15e,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
7b6999e8ec042365172aa61de3334b1e,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
2ef91eaf0e9c67023282fc5f016b2e4e,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
64c88dfe2e6cacc807b791a27607b205,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
359f8677f0f1fbe6b7c5138cd3ab5634,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
9ddfcd41285669b5ded8251b083c387f,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
d249e3fae94670842669471bf655a815,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
4d5eb784a0a68e64349b34479e9b2772,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
de6ca0b3bd35c05f4bc65e4c403a182d,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
5b400b7d7504a9b54436064958825b7e,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
2ee01a040dc16e13b00381f31a9f5df2,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
8c670ef10f47c3073a6f7daadd2c1578,4,4,4,4,4,4,Deterministic rubric fallback; replace with provider judge for final study.
4fb68ce20482c80b816708ff475bd408,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
5d7555e6f273e9898d72bbf50a16ce0a,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
1c8fdf53ba8b72ad08347fdf5e35c2df,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
292a00d95d42236af8e242540495c07c,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
509d49f6ebdd4aab900594c18c4ebf94,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
0a02efa28a78402c1c50322970cc2728,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
a9a5effda034edb3d736e8842d2c4bb4,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
c8c91641d890f03b0378c9b2cc097399,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
4dc14b9f48f0971750f993ad61e24aee,5,5,5,5,4,5,Deterministic rubric fallback; replace with provider judge for final study.
