expected_intent,predicted_intent,expected_decision,predicted_decision,reply,failure_mode,hypothesis
account_or_login,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
account_or_login,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
account_or_login,trip_or_pickup,escalate,auto-handle,I am sorry for the trouble with the trip. Please check the trip status and pickup details in the app; support can review the trip if the issue remains unresolved.,escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
account_or_login,trip_or_pickup,escalate,auto-handle,I am sorry for the trouble with the trip. Please check the trip status and pickup details in the app; support can review the trip if the issue remains unresolved.,escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
account_or_login,trip_or_pickup,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
lost_item,safety_or_driver_conduct,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
lost_item,payment_problem,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
lost_item,payment_problem,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
lost_item,safety_or_driver_conduct,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
other_or_unclear,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
other_or_unclear,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
other_or_unclear,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
other_or_unclear,promo_or_coupon,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
other_or_unclear,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
other_or_unclear,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
other_or_unclear,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
other_or_unclear,trip_or_pickup,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
other_or_unclear,trip_or_pickup,escalate,auto-handle,I am sorry for the trouble with the trip. Please check the trip status and pickup details in the app; support can review the trip if the issue remains unresolved.,escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
other_or_unclear,lost_item,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
other_or_unclear,trip_or_pickup,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
other_or_unclear,refund_request,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
payment_problem,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
payment_problem,trip_or_pickup,escalate,auto-handle,I am sorry for the trouble with the trip. Please check the trip status and pickup details in the app; support can review the trip if the issue remains unresolved.,escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
payment_problem,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
promo_or_coupon,payment_problem,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
promo_or_coupon,account_or_login,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
promo_or_coupon,account_or_login,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
promo_or_coupon,other_or_unclear,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
promo_or_coupon,safety_or_driver_conduct,auto-handle,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",escalation calibration,The message contains overlapping keywords or requires context not present in the incoming turn.
refund_request,safety_or_driver_conduct,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
refund_request,account_or_login,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
refund_request,payment_problem,escalate,escalate,"I am sorry you are dealing with this. This needs a closer review, so I am routing it to a support specialist who can access the relevant trip or account details.",intent overlap or insufficient context,The message contains overlapping keywords or requires context not present in the incoming turn.
